assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerId,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
14,1.0,2,66,6,0,36,Hampus,8476854,Lindholm,Hampus Lindholm,D,ANA,13,20,0.303,1,5,20162017,0,0,27.0606,0.0638,94,1346.9696
0,0.0,0,4,0,0,2,Buddy,8477210,Robinson,Buddy Robinson,R,OTT,0,0,0.0,0,0,20162017,0,0,12.25,0.0,4,416.75
28,0.4848,3,82,18,1,54,David,8474102,Perron,David Perron,L,STL,-2,46,0.5609,3,13,20162017,1,1,24.6219,0.1192,151,1037.878
43,0.4848,4,81,26,1,12,Mikael,8475798,Granlund,Mikael Granlund,C,MIN,23,69,0.8518,7,20,20162017,3,4,23.6913,0.1468,177,1129.4691
0,0.0,0,2,1,0,0,Valentin,8477458,Zykov,Valentin Zykov,L,CAR,1,1,0.5,0,0,20162017,0,0,8.0,0.3333,3,375.0
14,0.5,3,77,14,0,62,Nick,8477941,Ritchie,Nick Ritchie,L,ANA,4,28,0.3636,1,2,20162017,0,0,18.909,0.0939,149,779.1168
0,0.0,0,11,0,0,4,Derrick,8476884,Pouliot,Derrick Pouliot,D,PIT,-4,0,0.0,0,0,20162017,0,0,20.909,0.0,11,893.0909
11,0.4457,3,64,18,2,28,Andreas,8476960,Athanasiou,Andreas Athanasiou,C,DET,-7,29,0.4531,1,4,20162017,0,0,18.8125,0.15,120,807.8593
12,0.2413,1,81,12,0,46,Alex,8475163,Chiasson,Alex Chiasson,R,CGY,-6,24,0.2962,0,2,20162017,1,1,18.5308,0.1153,104,803.3209
39,0.0,1,78,12,0,34,Justin,8474602,Schultz,Justin Schultz,D,PIT,27,51,0.6538,3,20,20162017,0,0,26.0641,0.0779,154,1226.9102
15,0.3863,1,68,6,0,16,Jesper,8475855,Fast,Jesper Fast,R,NYR,6,21,0.3088,0,0,20162017,0,0,20.7205,0.1071,56,827.7941
0,0.3076,0,10,2,0,0,Jason,8477450,Dickinson,Jason Dickinson,C,DAL,-3,2,0.2,0,0,20162017,0,0,17.3,0.2222,9,707.4
15,1.0,0,79,2,0,20,Cody,8476879,Ceci,Cody Ceci,D,OTT,-11,17,0.2151,0,1,20162017,0,2,30.6075,0.0139,143,1392.3037
22,0.5,3,80,15,0,17,Reilly,8475191,Smith,Reilly Smith,R,FLA,-13,37,0.4625,6,11,20162017,1,1,24.35,0.0937,160,1101.2
30,0.0,3,75,12,3,24,Seth,8477495,Jones,Seth Jones,D,CBJ,6,42,0.56,1,7,20162017,0,0,29.96,0.0789,152,1404.2
0,0.55,0,2,0,0,0,Scott,8476872,Laughton,Scott Laughton,C,PHI,0,0,0.0,0,0,20162017,0,0,16.5,0.0,4,614.5
19,0.4531,3,81,6,0,10,William,8476448,Karlsson,William Karlsson,C,CBJ,10,25,0.3086,1,1,20162017,0,2,19.5925,0.0625,96,803.2469
0,0.0,0,3,0,0,0,Zbynek,8469760,Michalek,Zbynek Michalek,D,ARI,1,0,0.0,0,0,20162017,0,0,22.6666,0.0,3,1059.6666
14,0.0,3,82,6,0,38,Josh,8477504,Morrissey,Josh Morrissey,D,WPG,6,20,0.2439,1,1,20162017,0,0,25.1951,0.0606,99,1169.4634
9,0.0,0,81,4,0,28,Justin,8474027,Braun,Justin Braun,D,SJS,1,13,0.1604,0,0,20162017,0,2,26.0246,0.0421,95,1204.8024
11,0.0,0,60,3,0,31,Kevin,8470630,Klein,Kevin Klein,D,NYR,5,14,0.2333,0,1,20162017,0,1,23.95,0.0555,54,1058.1666
15,0.4375,3,60,12,0,115,Antoine,8474849,Roussel,Antoine Roussel,L,DAL,1,27,0.45,0,3,20162017,0,0,23.7833,0.1463,82,931.1
1,0.0,0,13,0,0,29,Kurtis,8476545,Gabriel,Kurtis Gabriel,R,MIN,0,1,0.0769,0,0,20162017,0,0,9.0769,0.0,3,349.1538
12,0.0,0,69,8,0,10,Lauri,8471232,Korpikoski,Lauri Korpikoski,L,"DAL, CBJ",5,20,0.2898,0,0,20162017,0,1,19.1884,0.074,108,744.4057
20,0.0,2,75,17,0,32,Justin,8475753,Faulk,Justin Faulk,D,CAR,-18,37,0.4933,4,13,20162017,0,0,26.4933,0.0755,225,1388.44
