playerId,assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame,playerDraftYear,playerDraftOverallPickNo,Age,hits,blockedShots,faceoffs,faceoffsLost,faceoffsWon,giveaways,takeaways,missedShots
8477956,36,0.6666,6,75,34,2,34,David,Pastrnak,David Pastrnak,R,BOS,11,70,0.9333,10,24,20162017,0,0,21.2933,0.1297,262,1078.9466,2014,25,20,72,32,3,1,2,65,50,99
8475692,44,0.4615,3,80,15,0,26,Mats,Zuccarello,Mats Zuccarello,R,NYR,15,59,0.7375,5,14,20162017,0,0,24.025,0.0793,189,1129.725,,,29,85,52,13,7,6,54,70,61
8471677,18,1,1,82,5,0,32,Jack,Johnson,Jack Johnson,D,CBJ,23,23,0.2804,1,2,20162017,0,1,28,0.0431,116,1309.3414,2005,3,29,94,134,1,0,1,27,20,36
8474618,9,0,0,71,4,0,25,Marco,Scandella,Marco Scandella,D,MIN,-2,13,0.183,0,0,20162017,0,0,23.6197,0.0454,88,1100.3098,2008,55,26,50,85,0,0,0,36,28,35
8474581,34,0,2,82,9,2,34,Jake,Gardiner,Jake Gardiner,D,TOR,24,43,0.5243,2,13,20162017,0,0,26.6219,0.0708,127,1292.0121,2008,17,26,69,83,0,0,0,79,44,63
8476468,34,0.4397,6,82,22,1,21,J.T.,Miller,J.T. Miller,L,NYR,17,56,0.6829,2,7,20162017,3,4,23.1219,0.1666,132,981.9878,2011,15,23,101,56,357,200,157,51,49,56
8475164,26,0.1428,5,79,23,0,20,Jakob,Silfverberg,Jakob Silfverberg,R,ANA,10,49,0.6202,5,9,20162017,1,1,25.2911,0.1013,227,1109.0632,2009,39,25,47,46,7,6,1,38,46,76
8474870,26,0.5196,3,66,19,1,28,Tyler,Johnson,Tyler Johnson,C,TBL,-5,45,0.6818,6,17,20162017,0,0,23.8333,0.1461,130,1129.303,,,26,46,30,1122,539,583,32,26,65
8478444,1,0,1,9,4,0,0,Brock,Boeser,Brock Boeser,R,VAN,0,5,0.5555,2,2,20162017,0,0,20.8888,0.16,25,972.7777,2015,23,19,5,0,0,0,0,4,1,3
8474589,8,0.1875,1,51,5,0,12,Tyler,Ennis,Tyler Ennis,C,BUF,-10,13,0.2549,0,3,20162017,0,0,15.8627,0.0561,89,770.1568,2008,26,26,45,23,16,13,3,17,19,23
8476356,18,0.3076,1,80,16,1,6,Tobias,Rieder,Tobias Rieder,R,ARI,-8,34,0.425,2,6,20162017,1,2,22.8125,0.1032,155,1038.7875,2011,114,23,24,38,13,9,4,15,34,69
8478493,4,0.4128,1,15,3,0,4,Joel,Eriksson Ek,Joel Eriksson Ek,C,MIN,1,7,0.4666,0,0,20162017,0,0,16.2666,0.2,15,636.7333,2015,20,19,23,8,109,64,45,3,3,7
8470041,15,0,3,67,23,0,26,Rick,Nash,Rick Nash,R,NYR,9,38,0.5671,6,9,20162017,1,1,24.7164,0.1179,195,987.8507,2002,1,32,63,35,1,1,0,46,43,70
8477010,6,0.4497,2,27,3,1,26,Joseph,Blandisi,Joseph Blandisi,L,NJD,-10,9,0.3333,1,5,20162017,0,0,18.1481,0.125,24,801.5925,2012,162,22,37,6,169,93,76,4,7,15
8476854,14,1,2,66,6,0,36,Hampus,Lindholm,Hampus Lindholm,D,ANA,13,20,0.303,1,5,20162017,0,0,27.0606,0.0638,94,1346.9696,2012,6,22,98,94,2,0,2,63,18,38
8477210,0,0,0,4,0,0,2,Buddy,Robinson,Buddy Robinson,R,OTT,0,0,0,0,0,20162017,0,0,12.25,0,4,416.75,,,24,9,0,0,0,0,1,1,1
8474102,28,0.4848,3,82,18,1,54,David,Perron,David Perron,L,STL,-2,46,0.5609,3,13,20162017,1,1,24.6219,0.1192,151,1037.878,2007,26,28,87,28,66,34,32,21,48,64
8475798,43,0.4848,4,81,26,1,12,Mikael,Granlund,Mikael Granlund,C,MIN,23,69,0.8518,7,20,20162017,3,4,23.6913,0.1468,177,1129.4691,2010,9,24,50,50,33,17,16,33,43,67
8477458,0,0,0,2,1,0,0,Valentin,Zykov,Valentin Zykov,L,CAR,1,1,0.5,0,0,20162017,0,0,8,0.3333,3,375,2013,37,21,0,0,0,0,0,1,0,1
8477941,14,0.5,3,77,14,0,62,Nick,Ritchie,Nick Ritchie,L,ANA,4,28,0.3636,1,2,20162017,0,0,18.909,0.0939,149,779.1168,2014,10,20,247,24,8,4,4,23,16,59
8476884,0,0,0,11,0,0,4,Derrick,Pouliot,Derrick Pouliot,D,PIT,-4,0,0,0,0,20162017,0,0,20.909,0,11,893.0909,2012,8,22,14,8,0,0,0,6,3,4
8476960,11,0.4457,3,64,18,2,28,Andreas,Athanasiou,Andreas Athanasiou,C,DET,-7,29,0.4531,1,4,20162017,0,0,18.8125,0.15,120,807.8593,2012,110,22,30,21,83,46,37,19,17,61
8475163,12,0.2413,1,81,12,0,46,Alex,Chiasson,Alex Chiasson,R,CGY,-6,24,0.2962,0,2,20162017,1,1,18.5308,0.1153,104,803.3209,2009,38,25,74,18,29,22,7,22,32,27
8474602,39,0,1,78,12,0,34,Justin,Schultz,Justin Schultz,D,PIT,27,51,0.6538,3,20,20162017,0,0,26.0641,0.0779,154,1226.9102,2008,43,26,67,116,0,0,0,37,22,45
8475855,15,0.3863,1,68,6,0,16,Jesper,Fast,Jesper Fast,R,NYR,6,21,0.3088,0,0,20162017,0,0,20.7205,0.1071,56,827.7941,2010,157,24,99,44,44,27,17,21,29,25
8477450,0,0.3076,0,10,2,0,0,Jason,Dickinson,Jason Dickinson,C,DAL,-3,2,0.2,0,0,20162017,0,0,17.3,0.2222,9,707.4,2013,29,21,8,4,13,9,4,0,3,5
8476879,15,1,0,79,2,0,20,Cody,Ceci,Cody Ceci,D,OTT,-11,17,0.2151,0,1,20162017,0,2,30.6075,0.0139,143,1392.3037,2012,15,22,111,159,1,0,1,74,22,54
8475191,22,0.5,3,80,15,0,17,Reilly,Smith,Reilly Smith,R,FLA,-13,37,0.4625,6,11,20162017,1,1,24.35,0.0937,160,1101.2,2009,69,25,75,34,6,3,3,39,49,52
8477495,30,0,3,75,12,3,24,Seth,Jones,Seth Jones,D,CBJ,6,42,0.56,1,7,20162017,0,0,29.96,0.0789,152,1404.2,2013,4,21,61,118,0,0,0,44,32,60
8476872,0,0.55,0,2,0,0,0,Scott,Laughton,Scott Laughton,C,PHI,0,0,0,0,0,20162017,0,0,16.5,0,4,614.5,2012,20,22,3,0,20,9,11,0,1,0
8476448,19,0.4531,3,81,6,0,10,William,Karlsson,William Karlsson,C,CBJ,10,25,0.3086,1,1,20162017,0,2,19.5925,0.0625,96,803.2469,2011,53,23,35,24,960,525,435,20,33,34
8469760,0,0,0,3,0,0,0,Zbynek,Michalek,Zbynek Michalek,D,ARI,1,0,0,0,0,20162017,0,0,22.6666,0,3,1059.6666,,,33,7,5,0,0,0,3,0,0
8477504,14,0,3,82,6,0,38,Josh,Morrissey,Josh Morrissey,D,WPG,6,20,0.2439,1,1,20162017,0,0,25.1951,0.0606,99,1169.4634,2013,13,21,145,139,0,0,0,39,15,36
8474027,9,0,0,81,4,0,28,Justin,Braun,Justin Braun,D,SJS,1,13,0.1604,0,0,20162017,0,2,26.0246,0.0421,95,1204.8024,2007,201,29,136,161,0,0,0,59,40,58
8470630,11,0,0,60,3,0,31,Kevin,Klein,Kevin Klein,D,NYR,5,14,0.2333,0,1,20162017,0,1,23.95,0.0555,54,1058.1666,2003,37,31,135,123,0,0,0,35,12,22
8474849,15,0.4375,3,60,12,0,115,Antoine,Roussel,Antoine Roussel,L,DAL,1,27,0.45,0,3,20162017,0,0,23.7833,0.1463,82,931.1,,,26,69,45,16,9,7,37,16,39
8476545,1,0,0,13,0,0,29,Kurtis,Gabriel,Kurtis Gabriel,R,MIN,0,1,0.0769,0,0,20162017,0,0,9.0769,0,3,349.1538,2013,81,23,26,1,0,0,0,3,0,2
8471232,12,0,0,69,8,0,10,Lauri,Korpikoski,Lauri Korpikoski,L,"DAL, CBJ",5,20,0.2898,0,0,20162017,0,1,19.1884,0.074,108,744.4057,2004,19,30,37,36,7,7,0,21,12,31
8475753,20,0,2,75,17,0,32,Justin,Faulk,Justin Faulk,D,CAR,-18,37,0.4933,4,13,20162017,0,0,26.4933,0.0755,225,1388.44,2010,37,24,117,84,0,0,0,45,53,93
8467875,29,0.5,3,82,15,1,32,Daniel,Sedin,Daniel Sedin,L,VAN,-16,44,0.5365,6,14,20162017,0,0,23.4634,0.0694,216,1103.1219,1999,2,35,20,18,6,3,3,30,26,69
