Season,Assists,FaceoffWinPctg,GameWinningGoals,GamesPlayed,Goals,OTGoals,PenaltyMinutes,PlayerFirstName,PlayerId,PlayerLastName,PlayerName,PlayerPositionCode,PlusMinus,Points,PPGoals,PPPoints,SHGoals,SHPoints,ShiftsPerGame,ShootingPctg,Shots,TeamAbbrev,TimeOnIcePerGame
20112012,16,0.4927,1,89,8,0,58,Daniel,8471476,Winnik,Daniel Winnik,L,-10,24,0,0,1,2,22.382,0.0427,187,NULL,987.191
20112012,39,0.3157,6,74,30,2,40,Daniel,8467875,Sedin,Daniel Sedin,L,14,69,10,27,0,0,24.9729,0.1287,233,NULL,1131.0135
20112012,16,0.00,2,86,6,0,29,Brad,8467331,Stuart,Brad Stuart,D,11,22,1,1,1,1,26.8488,0.06,100,NULL,1257.3953
20112012,13,0.00,0,82,2,0,20,Brett,8465122,Clark,Brett Clark,D,-26,15,0,2,0,0,26.1585,0.0327,61,NULL,1102.5365
20112012,6,0.00,1,44,4,0,46,Aaron,8470310,Rome,Aaron Rome,D,-4,10,1,2,0,0,20.409,0.0952,42,NULL,910.1363
20112012,17,0.4625,1,77,9,0,22,Marcus,8475323,Kruger,Marcus Kruger,C,7,26,0,3,0,0,22.2597,0.0882,102,NULL,935.1818
20112012,19,0.00,1,87,4,0,42,Marc-Edouard,8471709,Vlasic,Marc-Edouard Vlasic,D,9,23,0,1,0,1,28.0919,0.0325,123,NULL,1381.6091
20112012,8,0.55,0,45,4,0,10,Ryan,8471634,Shannon,Ryan Shannon,R,-11,12,1,3,0,0,15.3555,0.0869,46,NULL,721.9555
20112012,39,0.409,0,82,16,0,36,Vinny,8459492,Prospal,Vinny Prospal,L,-11,55,3,15,0,0,22.4146,0.0969,165,NULL,1073.2073
20112012,2,0.00,0,18,0,0,8,Tim,8475148,Erixon,Tim Erixon,D,-2,2,0,0,0,0,17.2222,0.00,9,NULL,779.8333
20112012,3,0.00,0,57,2,0,21,Colin,8465005,White,Colin White,D,-5,5,0,0,0,0,22.6666,0.0588,34,NULL,893.0877
20112012,12,0.5222,0,81,5,0,10,John,8470750,Mitchell,John Mitchell,C,8,17,0,3,0,0,12.2592,0.0666,75,NULL,568.6172
20112012,42,0.00,3,84,20,1,32,Jaromir,8448208,Jagr,Jaromir Jagr,R,0,62,8,26,0,0,20.3452,0.102,196,NULL,969.8214
20112012,6,0.00,0,30,1,0,6,David,8475182,Rundblad,David Rundblad,D,-12,7,0,2,0,0,18.7333,0.0294,34,NULL,900.5666
20112012,17,0.00,0,70,3,0,18,Matt,8475118,Gilroy,Matt Gilroy,D,2,20,0,0,0,0,22.9714,0.0348,86,NULL,1038.6285
